text,intent
can you cancel appointment,APPT_CANCEL
can you cancel appointment!,APPT_CANCEL
can you cancel appointment?,APPT_CANCEL
can you cancel booking,APPT_CANCEL
can you cancel booking!,APPT_CANCEL
can you cancel booking?,APPT_CANCEL
can you delete appointment,APPT_CANCEL
can you delete appointment!,APPT_CANCEL
can you delete appointment?,APPT_CANCEL
can you remove appointment,APPT_CANCEL
can you remove appointment!,APPT_CANCEL
can you remove appointment?,APPT_CANCEL
cancel appointment,APPT_CANCEL
cancel appointment please,APPT_CANCEL
cancel appointment please!,APPT_CANCEL
cancel appointment please?,APPT_CANCEL
cancel appointment!,APPT_CANCEL
cancel appointment?,APPT_CANCEL
cancel booking,APPT_CANCEL
cancel booking please,APPT_CANCEL
cancel booking please!,APPT_CANCEL
cancel booking please?,APPT_CANCEL
cancel booking!,APPT_CANCEL
cancel booking?,APPT_CANCEL
could you cancel appointment,APPT_CANCEL
could you cancel appointment!,APPT_CANCEL
could you cancel appointment?,APPT_CANCEL
could you cancel booking,APPT_CANCEL
could you cancel booking!,APPT_CANCEL
could you cancel booking?,APPT_CANCEL
could you delete appointment,APPT_CANCEL
could you delete appointment!,APPT_CANCEL
could you delete appointment?,APPT_CANCEL
could you remove appointment,APPT_CANCEL
could you remove appointment!,APPT_CANCEL
could you remove appointment?,APPT_CANCEL
delete appointment,APPT_CANCEL
delete appointment please,APPT_CANCEL
delete appointment please!,APPT_CANCEL
delete appointment please?,APPT_CANCEL
delete appointment!,APPT_CANCEL
delete appointment?,APPT_CANCEL
i want to cancel appointment,APPT_CANCEL
i want to cancel appointment!,APPT_CANCEL
i want to cancel appointment?,APPT_CANCEL
i want to cancel booking,APPT_CANCEL
i want to cancel booking!,APPT_CANCEL
i want to cancel booking?,APPT_CANCEL
i want to delete appointment,APPT_CANCEL
i want to delete appointment!,APPT_CANCEL
i want to delete appointment?,APPT_CANCEL
i want to remove appointment,APPT_CANCEL
i want to remove appointment!,APPT_CANCEL
i want to remove appointment?,APPT_CANCEL
please cancel appointment,APPT_CANCEL
please cancel appointment!,APPT_CANCEL
please cancel appointment?,APPT_CANCEL
please cancel booking,APPT_CANCEL
please cancel booking!,APPT_CANCEL
please cancel booking?,APPT_CANCEL
please delete appointment,APPT_CANCEL
please delete appointment!,APPT_CANCEL
please delete appointment?,APPT_CANCEL
please remove appointment,APPT_CANCEL
please remove appointment!,APPT_CANCEL
please remove appointment?,APPT_CANCEL
remove appointment,APPT_CANCEL
remove appointment please,APPT_CANCEL
remove appointment please!,APPT_CANCEL
remove appointment please?,APPT_CANCEL
remove appointment!,APPT_CANCEL
remove appointment?,APPT_CANCEL
show me cancel appointment,APPT_CANCEL
show me cancel appointment!,APPT_CANCEL
